id;name;description;sku;date;price;units;status;created_at;updated_at;category
80;PI�A ;;91;2012-11-12;10;PIEZA;;;;VERDURAS
81;AJO;;92;2012-11-12;10;PIEZA;;;;VERDURAS
82;SALSA FRESADILLA;;93;2012-11-12;10;LITRO;;;;SALSAS
83;SALSA ROJA;;94;2012-11-12;10;LITRO;;;;SALSAS
84;SALSA HABANERO;;95;2012-11-12;10;LITRO;;;;SALSAS
85;SALSA JALAPE�O;;96;2012-11-12;10;LITRO;;;;SALSAS
86;SALSA CHIPOTLE;;97;2012-11-12;10;LITRO;;;;SALSAS
87;ADEREZO P/TORTA;;98;2012-11-12;0;LITRO;;;;SALSAS
88;CREMA;;99;2012-11-12;0;LITRO;;;;ABARROTES
89;MAYONESA;;100;2012-11-12;20;LITRO;;;;ABARROTES
90;LECHE;;101;2012-11-12;20;LITRO;;;;ABARROTES
91;FLAN;;102;2012-11-12;5;PIEZA;;;;POSTRES
92;ARROZ C/LECHE;;103;2012-11-12;5;PIEZA;;;;POSTRES
93;T.HARINA;;104;2012-11-12;0.2;PIEZA;;;;GUISOS
94;T.MAIZ;;105;2012-11-12;0.2;PIEZA;;;;GUISOS
95;T.PIRATA GIGANTE;;106;2012-11-12;1;PIEZA;;;;GUISOS
96;T.PIRATA ESPECIAL;;107;2012-11-12;1;PIEZA;;;;GUISOS
97;T.GRINGA;;108;2012-11-12;2;PIEZA;;;;GUISOS
98;T.TROMPO;;109;2012-11-12;0.2;PIEZA;;;;GUISOS
99;ARRACHERA;;110;2012-11-12;100;KILO;;;;GUISOS
100;ESPALDILLA;;111;2012-11-12;100;KILO;;;;GUISOS
101;CACHETE;;112;2012-11-12;100;KILO;;;;GUISOS
102;SIRLON;;113;2012-11-12;100;KILO;;;;GUISOS
103;TUETANOS;;114;2012-11-12;50;KILO;;;;GUISOS
104;TOCINO;;115;2012-11-12;70;KILO;;;;GUISOS
105;CUERITOS;;116;2012-11-12;15;KILO;;;;GUISOS
