id,name,description,sku,date,price,units,status,created_at,updated_at,category
,PAPA CAMOTE,Producto,86,2012-11-12,10,KILO,,,,VERDURAS
,CEBOLLA,Producto,87,2012-11-12,10,KILO,,,,VERDURAS
,CILANTRO,Producto,88,2012-11-12,10,PIEZA,,,,VERDURAS
,LIMONES,Producto,89,2012-11-12,10,KILO,,,,VERDURAS
,LECHUGA,Producto,90,2012-11-12,10,PIEZA,,,,VERDURAS
,PINA ,Producto,91,2012-11-12,10,PIEZA,,,,VERDURAS
,AJO,Producto,92,2012-11-12,10,PIEZA,,,,VERDURAS
,SALSA FRESADILLA,Producto,93,2012-11-12,10,LITRO,,,,SALSAS
,SALSA ROJA,Producto,94,2012-11-12,10,LITRO,,,,SALSAS
,SALSA HABANERO,Producto,95,2012-11-12,10,LITRO,,,,SALSAS
,SALSA JALAPENO,Producto,96,2012-11-12,10,LITRO,,,,SALSAS
,SALSA CHIPOTLE,Producto,97,2012-11-12,10,LITRO,,,,SALSAS
,ADEREZO P/TORTA,Producto,98,2012-11-12,0,LITRO,,,,SALSAS
,CREMA,Producto,99,2012-11-12,0,LITRO,,,,ABARROTES
,MAYONESA,Producto,100,2012-11-12,20,LITRO,,,,ABARROTES
,LECHE,Producto,101,2012-11-12,20,LITRO,,,,ABARROTES
,FLAN,Producto,102,2012-11-12,5,PIEZA,,,,POSTRES
,ARROZ C/LECHE,Producto,103,2012-11-12,5,PIEZA,,,,POSTRES
,T.HARINA,Producto,104,2012-11-12,0.2,PIEZA,,,,GUISOS
,T.MAIZ,Producto,105,2012-11-12,0.2,PIEZA,,,,GUISOS
,T.PIRATA GIGANTE,Producto,106,2012-11-12,1,PIEZA,,,,GUISOS
,T.PIRATA ESPECIAL,Producto,107,2012-11-12,1,PIEZA,,,,GUISOS
,T.GRINGA,Producto,108,2012-11-12,2,PIEZA,,,,GUISOS
,T.TROMPO,Producto,109,2012-11-12,0.2,PIEZA,,,,GUISOS
,ARRACHERA,Producto,110,2012-11-12,100,KILO,,,,GUISOS
,ESPALDILLA,Producto,111,2012-11-12,100,KILO,,,,GUISOS
,CACHETE,Producto,112,2012-11-12,100,KILO,,,,GUISOS
,SIRLON,Producto,113,2012-11-12,100,KILO,,,,GUISOS
,TUETANOS,Producto,114,2012-11-12,50,KILO,,,,GUISOS
,TOCINO,Producto,115,2012-11-12,70,KILO,,,,GUISOS
,CUERITOS,Producto,116,2012-11-12,15,KILO,,,,GUISOS
